Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=2 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260517_173108.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | sur_steps=2 | eps=0.300
[TabPFN sync] step=019 | sigma | mode=std | envs=24 | points=792 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=15.920
[TabPFN sync] step=020 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.018 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=14.789
[TabPFN sync] step=020 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.917
[TabPFN sync] step=020 | sigma | mode=std | envs=24 | points=800 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.897
[TabPFN sync] step=021 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.018 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=16.869
[TabPFN sync] step=021 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=13.571
[TabPFN sync] step=021 | sigma | mode=std | envs=24 | points=796 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=12.591
[TabPFN sync] step=022 | gen=001/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.018 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=16.307
[TabPFN sync] step=022 | gen=002/002 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=15.462
[TabPFN sync] step=022 | sigma | mode=std | envs=24 | points=757 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.000 | gpu_forward_sec=0.000 | postprocess_sec=0.000 | fallback_used=1 | fallback_reason=Could not locate TabPFN ensemble members for classifier type TabPFNClassifier. | time_sec=11.850
